cruise,cast,niskin,niskin_other_method,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,dil,NA,NA,NA,a,>0&<200,120,6,1.3933,2.129904724,6,3.67,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,dil,NA,NA,NA,b,>0&<200,120,6,1.3933,2.129904724,7.21,4.72,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,dil,NA,NA,NA,c,>0&<200,120,6,1.3933,2.129904724,6.49,4.1,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,dil,NA,NA,NA,a,>10&<200,120,6,1.3933,2.129904724,1.75,1.19,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,dil,NA,NA,NA,b,>10&<200,120,6,1.3933,2.129904724,1.43,1.02,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,dil,NA,NA,NA,c,>10&<200,120,6,1.3933,2.129904724,1.9,1.26,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,wsw,NA,NA,NA,a,>0&<200,120,6,1.3933,2.129904724,28,16.2,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,wsw,NA,NA,NA,b,>0&<200,120,6,1.3933,2.129904724,27.8,16.4,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,wsw,NA,NA,NA,c,>0&<200,120,6,1.3933,2.129904724,27.6,16.7,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,wsw,NA,NA,NA,a,>10&<200,120,6,1.3933,2.129904724,5.87,3.35,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,1',13-14-15',NA',L1,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,T0,wsw,NA,NA,NA,b,>10&<200,120,6,1.3933,2.129904724,5.6,3.17,0.513,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
