DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,,,
2/2/2020 2:39,5.7,0, , , , , 
2/2/2020 2:44,5.7,0, , , , , 
2/2/2020 2:49,5.75,0, , , , , 
2/2/2020 2:54,5.75,0, , , , , 
2/2/2020 2:59,5.79,0, , , , , 
2/2/2020 3:04,5.79,0, , , , , 
2/2/2020 3:09,5.75,0, , , , , 
2/2/2020 3:14,5.75,0, , , , , 
2/2/2020 3:19,5.79,0, , , , , 
2/2/2020 3:24,5.79,0, , , , , 
2/2/2020 3:29,5.79,0, , , , , 
2/2/2020 3:34,5.83,0, , , , , 
2/2/2020 3:39,5.83,0, , , , , 
2/2/2020 3:44,5.83,0, , , , , 
2/2/2020 3:49,5.87,0, , , , , 
2/2/2020 3:54,5.92,0, , , , , 
2/2/2020 3:59,5.96,0, , , , , 
2/2/2020 4:04,5.92,0, , , , , 
2/2/2020 4:09,6,0, , , , , 
2/2/2020 4:14,5.96,0, , , , , 
2/2/2020 4:19,6.05,0, , , , , 
2/2/2020 4:24,6.05,0, , , , , 
2/2/2020 4:29,6.05,0, , , , , 
2/2/2020 4:34,6.09,0, , , , , 
2/2/2020 4:39,6.05,0, , , , , 
2/2/2020 4:44,6.09,0, , , , , 
2/2/2020 4:49,6.17,0, , , , , 
2/2/2020 4:54,6.13,0, , , , , 
2/2/2020 4:59,6.17,0, , , , , 
2/2/2020 5:04,6.22,0, , , , , 
2/2/2020 5:09,6.13,0, , , , , 
2/2/2020 5:14,6.17,0, , , , , 
2/2/2020 5:19,6.22,0, , , , , 
2/2/2020 5:24,6.17,0, , , , , 
2/2/2020 5:29,6.13,0, , , , , 
2/2/2020 5:34,6.09,0, , , , , 
2/2/2020 5:39,6.13,0, , , , , 
2/2/2020 5:44,6.17,0, , , , , 
2/2/2020 5:49,6.17,0, , , , , 
2/2/2020 5:54,6.17,0, , , , , 
2/2/2020 5:59,6.26,0, , , , , 
2/2/2020 6:04,6.13,0, , , , , 
2/2/2020 6:09,6.17,0, , , , , 
2/2/2020 6:14,6.17,0, , , , , 
2/2/2020 6:19,6.17,0, , , , , 
2/2/2020 6:24,6.17,0, , , , , 
2/2/2020 6:29,6.17,0, , , , , 
2/2/2020 6:34,6.26,0, , , , , 
2/2/2020 6:39,6.22,0, , , , , 
2/2/2020 6:44,6.26,0, , , , , 
2/2/2020 6:49,6.22,0, , , , , 
2/2/2020 6:54,6.26,0, , , , , 
2/2/2020 6:59,6.22,0, , , , , 
2/2/2020 7:04,6.26,0, , , , , 
2/2/2020 7:09,6.26,0, , , , , 
2/2/2020 7:14,6.26,0, , , , , 
2/2/2020 7:19,6.3,0, , , , , 
2/2/2020 7:24,6.22,0, , , , , 
2/2/2020 7:29,6.26,0, , , , , 
2/2/2020 7:34,6.22,0, , , , , 
2/2/2020 7:39,6.26,0, , , , , 
2/2/2020 7:44,6.26,0, , , , , 
2/2/2020 7:49,6.26,0, , , , , 
2/2/2020 7:54,6.26,0, , , , , 
2/2/2020 7:59,6.26,0, , , , , 
2/2/2020 8:04,6.26,0, , , , , 
2/2/2020 8:09,6.22,0, , , , , 
2/2/2020 8:14,6.26,0, , , , , 
2/2/2020 8:19,6.3,0, , , , , 
2/2/2020 8:24,6.3,0, , , , , 
2/2/2020 8:29,6.26,0, , , , , 
2/2/2020 8:34,6.35,0, , , , , 
2/2/2020 8:39,6.3,0, , , , , 
2/2/2020 8:44,6.35,0, , , , , 
2/2/2020 8:49,6.35,0, , , , , 
2/2/2020 8:54,6.3,0, , , , , 
2/2/2020 8:59,6.3,0, , , , , 
2/2/2020 9:04,6.35,0, , , , , 
2/2/2020 9:09,6.3,0, , , , , 
2/2/2020 9:14,6.3,0, , , , , 
2/2/2020 9:19,6.3,0, , , , , 
2/2/2020 9:24,6.3,0, , , , , 
2/2/2020 9:29,6.3,0, , , , , 
2/2/2020 9:34,6.3,0, , , , , 
2/2/2020 9:39,6.26,0, , , , , 
2/2/2020 9:44,6.3,0, , , , , 
2/2/2020 9:49,6.3,0, , , , , 
2/2/2020 9:54,6.3,0, , , , , 
2/2/2020 9:59,6.22,0, , , , , 
2/2/2020 10:04,6.22,0, , , , , 
2/2/2020 10:09,6.22,0, , , , , 
2/2/2020 10:14,6.17,0, , , , , 
2/2/2020 10:19,6.22,0, , , , , 
2/2/2020 10:24,6.22,0, , , , , 
2/2/2020 10:29,6.17,0, , , , , 
2/2/2020 10:34,6.22,0, , , , , 
2/2/2020 10:39,6.17,0, , , , , 
2/2/2020 10:44,6.22,0, , , , , 
2/2/2020 10:49,6.22,0, , , , , 
2/2/2020 10:54,6.13,0, , , , , 
2/2/2020 10:59,6.22,0, , , , , 
2/2/2020 11:04,6.22,0, , , , , 
2/2/2020 11:09,6.13,0, , , , , 
2/2/2020 11:14,6.22,0, , , , , 
2/2/2020 11:19,6.17,0, , , , , 
2/2/2020 11:24,6.17,0, , , , , 
2/2/2020 11:29,6.17,0, , , , , 
2/2/2020 11:34,6.13,1, , , , , 
2/2/2020 11:39,6.17,26, , , , , 
2/2/2020 11:44,6.09,61, , , , , 
2/2/2020 11:49,6.13,117, , , , , 
2/2/2020 11:54,6.09,210, , , , , 
2/2/2020 11:59,6.09,334, , , , , 
2/2/2020 12:04,6,482, , , , , 
2/2/2020 12:09,6.05,666, , , , , 
2/2/2020 12:14,6,608, , , , , 
2/2/2020 12:19,5.96,875, , , , , 
2/2/2020 12:24,6,"1,278", , , , , 
2/2/2020 12:29,5.96,"1,424", , , , , 
2/2/2020 12:34,5.92,"1,564", , , , , 
2/2/2020 12:39,5.92,"1,330", , , , , 
2/2/2020 12:44,5.87,709, , , , , 
2/2/2020 12:49,5.92,420, , , , , 
2/2/2020 12:54,5.83,535, , , , , 
2/2/2020 12:59,5.83,934, , , , , 
2/2/2020 13:04,5.87,"1,965", , , , , 
2/2/2020 13:09,5.87,"2,888", , , , , 
2/2/2020 13:14,5.92,"3,183", , , , , 
2/2/2020 13:19,5.96,"2,447", , , , , 
2/2/2020 13:24,5.92,"2,970", , , , , 
2/2/2020 13:29,5.87,"1,919", , , , , 
2/2/2020 13:34,5.87,"2,811", , , , , 
