DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,
2/2/2020 4:28,6.82,0, , 
2/2/2020 4:33,6.82,0, , 
2/2/2020 4:38,6.82,0, , 
2/2/2020 4:43,6.82,0, , 
2/2/2020 4:48,6.82,0, , 
2/2/2020 4:53,6.82,0, , 
2/2/2020 4:58,6.9,0, , 
2/2/2020 5:03,6.82,0, , 
2/2/2020 5:08,6.86,0, , 
2/2/2020 5:13,6.82,0, , 
2/2/2020 5:18,6.82,0, , 
2/2/2020 5:23,6.82,0, , 
2/2/2020 5:28,6.78,0, , 
2/2/2020 5:33,6.82,0, , 
2/2/2020 5:38,6.82,0, , 
2/2/2020 5:43,6.78,0, , 
2/2/2020 5:48,6.78,0, , 
2/2/2020 5:53,6.78,0, , 
2/2/2020 5:58,6.82,0, , 
2/2/2020 6:03,6.82,0, , 
2/2/2020 6:08,6.73,0, , 
2/2/2020 6:13,6.78,0, , 
2/2/2020 6:18,6.73,0, , 
2/2/2020 6:23,6.73,0, , 
2/2/2020 6:28,6.78,0, , 
2/2/2020 6:33,6.73,0, , 
2/2/2020 6:38,6.73,0, , 
2/2/2020 6:43,6.69,0, , 
2/2/2020 6:48,6.73,0, , 
2/2/2020 6:53,6.73,0, , 
2/2/2020 6:58,6.69,0, , 
2/2/2020 7:03,6.73,0, , 
2/2/2020 7:08,6.73,0, , 
2/2/2020 7:13,6.73,0, , 
2/2/2020 7:18,6.73,0, , 
2/2/2020 7:23,6.78,0, , 
2/2/2020 7:28,6.78,0, , 
2/2/2020 7:33,6.78,0, , 
2/2/2020 7:38,6.78,0, , 
2/2/2020 7:43,6.82,0, , 
2/2/2020 7:48,6.73,0, , 
2/2/2020 7:53,6.73,0, , 
2/2/2020 7:58,6.78,0, , 
2/2/2020 8:03,6.73,0, , 
2/2/2020 8:08,6.73,0, , 
2/2/2020 8:13,6.73,0, , 
2/2/2020 8:18,6.65,0, , 
2/2/2020 8:23,6.73,0, , 
2/2/2020 8:28,6.73,0, , 
2/2/2020 8:33,6.73,0, , 
2/2/2020 8:38,6.73,0, , 
2/2/2020 8:43,6.73,0, , 
2/2/2020 8:48,6.78,0, , 
2/2/2020 8:53,6.78,0, , 
2/2/2020 8:58,6.78,0, , 
2/2/2020 9:03,6.78,0, , 
2/2/2020 9:08,6.78,0, , 
2/2/2020 9:13,6.82,0, , 
2/2/2020 9:18,6.82,0, , 
2/2/2020 9:23,6.82,0, , 
2/2/2020 9:28,6.82,0, , 
2/2/2020 9:33,6.82,0, , 
2/2/2020 9:38,6.82,0, , 
2/2/2020 9:43,6.78,0, , 
2/2/2020 9:48,6.82,1, , 
2/2/2020 9:53,6.78,0, , 
2/2/2020 9:58,6.82,0, , 
2/2/2020 10:03,6.78,0, , 
2/2/2020 10:08,6.78,0, , 
2/2/2020 10:13,6.73,0, , 
2/2/2020 10:18,6.73,0, , 
2/2/2020 10:23,6.73,0, , 
2/2/2020 10:28,6.82,0, , 
2/2/2020 10:33,6.73,0, , 
2/2/2020 10:38,6.73,0, , 
2/2/2020 10:43,6.78,0, , 
2/2/2020 10:48,6.69,0, , 
2/2/2020 10:53,6.69,0, , 
2/2/2020 10:58,6.73,0, , 
2/2/2020 11:03,6.69,0, , 
2/2/2020 11:08,6.65,0, , 
2/2/2020 11:13,6.6,0, , 
2/2/2020 11:18,6.65,0, , 
2/2/2020 11:23,6.56,0, , 
2/2/2020 11:28,6.56,0, , 
2/2/2020 11:33,6.52,0, , 
2/2/2020 11:38,6.56,12, , 
2/2/2020 11:43,6.52,27, , 
2/2/2020 11:48,6.52,53, , 
2/2/2020 11:53,6.52,94, , 
2/2/2020 11:58,6.43,158, , 
2/2/2020 12:03,6.39,250, , 
2/2/2020 12:08,6.3,380, , 
2/2/2020 12:13,6.3,434, , 
2/2/2020 12:18,6.17,408, , 
2/2/2020 12:23,6.17,707, , 
2/2/2020 12:28,6.13,697, , 
2/2/2020 12:33,6.09,826, , 
2/2/2020 12:38,6,780, , 
2/2/2020 12:43,6.05,520, , 
2/2/2020 12:48,5.96,236, , 
2/2/2020 12:53,5.92,208, , 
2/2/2020 12:58,5.92,529, , 
2/2/2020 13:03,5.96,787, , 
2/2/2020 13:08,5.96,"1,546", , 
2/2/2020 13:13,6,"1,811", , 
2/2/2020 13:18,5.96,"1,345", , 
2/2/2020 13:23,6,"1,725", , 
2/2/2020 13:28,5.92,"1,308", , 
2/2/2020 13:33,5.96,"1,125", , 
2/2/2020 13:38,5.96,"1,468", , 
2/2/2020 13:43,6,"1,861", , 
2/2/2020 13:48,5.92,"1,403", , 
2/2/2020 13:53,5.92,"2,524", , 
2/2/2020 13:58,5.96,"2,802", , 
2/2/2020 14:03,5.96,"2,276", , 
2/2/2020 14:08,5.92,"3,032", , 
2/2/2020 14:13,5.92,"2,824", , 
2/2/2020 14:18,5.92,"2,561", , 
2/2/2020 14:23,5.87,"2,406", , 
2/2/2020 14:28,5.92,"3,758", , 
2/2/2020 14:33,5.87,"2,708", , 
2/2/2020 14:38,5.87,"2,994", , 
2/2/2020 14:43,5.83,"2,979", , 
2/2/2020 14:48,5.92,"3,963", , 
2/2/2020 14:53,6,"5,788", , 
2/2/2020 14:58,5.96,"4,413", , 
2/2/2020 15:03,6.05,"5,837", , 
2/2/2020 15:08,6.09,"6,090", , 
2/2/2020 15:13,6.17,"5,340", , 
2/2/2020 15:18,6.17,"4,628", , 
2/2/2020 15:23,6.43,"5,076", , 
2/2/2020 15:28,7.08,"4,349", , 
2/2/2020 15:33,6.56,"4,593", , 
2/2/2020 15:38,6.52,"4,342", , 
2/2/2020 15:43,6.56,"4,122", , 
2/2/2020 15:48,6.65,"4,580", , 
2/2/2020 15:53,6.73,"4,466", , 
2/2/2020 15:58,6.9,"4,307", , 
2/2/2020 16:03,6.9,"4,236", , 
