DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,
2/3/2021 13:54,3.99,"6,812", , , 
2/3/2021 13:59,1.11,"6,267", , , 
2/3/2021 14:04,0.6,"6,098", , , 
2/3/2021 14:09,0.6,"7,652", , , 
2/3/2021 14:14,0.77,"8,013", , , 
2/3/2021 14:19,0.9,"8,763", , , 
2/3/2021 14:24,1.11,"9,974", , , 
2/3/2021 14:29,1.28,"11,187", , , 
2/3/2021 14:34,1.41,"10,588", , , 
2/3/2021 14:39,1.46,"10,250", , , 
2/3/2021 14:44,1.58,"10,680", , , 
2/3/2021 14:49,1.67,"10,092", , , 
2/3/2021 14:54,1.71,"10,532", , , 
2/3/2021 14:59,1.8,"10,947", , , 
2/3/2021 15:04,2.06,"11,653", , , 
2/3/2021 15:09,2.23,"12,810", , , 
2/3/2021 15:14,2.44,"14,700", , , 
2/3/2021 15:19,2.53,"15,421", , , 
2/3/2021 15:24,3.09,"20,388", , , 
2/3/2021 15:29,3,"17,055", , , 
2/3/2021 15:34,3.26,"24,003", , , 
2/3/2021 15:39,4.2,"60,662", , , 
2/3/2021 15:44,3.52,"15,805", , , 
2/3/2021 15:49,3.64,"20,951", , , 
2/3/2021 15:54,3.99,"23,040", , , 
2/3/2021 15:59,4.46,"25,211", , , 
2/3/2021 16:04,5.27,"20,792", , , 
2/3/2021 16:09,4.46,"18,775", , , 
2/3/2021 16:14,4.46,"18,724", , , 
2/3/2021 16:19,4.54,"19,912", , , 
2/3/2021 16:24,4.67,"22,907", , , 
2/3/2021 16:29,5.53,"29,798", , , 
2/3/2021 16:34,5.57,"21,811", , , 
2/3/2021 16:39,5.1,"20,106", , , 
2/3/2021 16:44,5.53,"23,685", , , 
2/3/2021 16:49,5.4,"19,968", , , 
2/3/2021 16:54,5.27,"20,321", , , 
2/3/2021 16:59,5.36,"20,193", , , 
2/3/2021 17:04,5.4,"20,137", , , 
2/3/2021 17:09,6,"20,639", , , 
2/3/2021 17:14,6.3,"23,501", , , 
2/3/2021 17:19,6.56,"26,399", , , 
2/3/2021 17:24,6.43,"22,426", , , 
2/3/2021 17:29,6.26,"20,449", , , 
2/3/2021 17:34,6.13,"19,866", , , 
2/3/2021 17:39,6.22,"21,432", , , 
2/3/2021 17:44,6.3,"21,914", , , 
2/3/2021 17:49,6.65,"25,764", , , 
2/3/2021 17:54,6.56,"22,620", , , 
2/3/2021 17:59,6.65,"24,340", , , 
2/3/2021 18:04,6.52,"18,678", , , 
2/3/2021 18:09,6.3,"15,621", , , 
2/3/2021 18:14,6.13,"13,926", , , 
2/3/2021 18:19,6.13,"14,208", , , 
2/3/2021 18:24,6.17,"15,713", , , 
2/3/2021 18:29,6.13,"14,392", , , 
2/3/2021 18:34,5.96,"11,894", , , 
2/3/2021 18:39,5.92,"11,715", , , 
2/3/2021 18:44,5.92,"11,069", , , 
2/3/2021 18:49,5.87,"11,156", , , 
2/3/2021 18:54,5.87,"10,844", , , 
2/3/2021 18:59,5.92,"11,341", , , 
2/3/2021 19:04,5.92,"11,602", , , 
2/3/2021 19:09,6.05,"12,206", , , 
2/3/2021 19:14,5.96,"12,380", , , 
2/3/2021 19:19,6.05,"12,739", , , 
2/3/2021 19:24,6.05,"14,884", , , 
2/3/2021 19:29,6,"11,372", , , 
2/3/2021 19:34,6.05,"12,324", , , 
2/3/2021 19:39,6.05,"11,648", , , 
2/3/2021 19:44,5.87,"9,910", , , 
2/3/2021 19:49,5.7,"8,614", , , 
2/3/2021 19:54,5.49,"8,358", , , 
2/3/2021 19:59,5.49,"9,495", , , 
2/3/2021 20:04,5.49,"8,133", , , 
2/3/2021 20:09,5.36,"7,660", , , 
2/3/2021 20:14,5.27,"7,119", , , 
2/3/2021 20:19,5.23,"7,025", , , 
2/3/2021 20:24,5.15,"6,804", , , 
2/3/2021 20:29,5.1,"5,180", , , 
2/3/2021 20:34,5.06,"4,846", , , 
2/3/2021 20:39,5.06,"4,471", , , 
2/3/2021 20:44,5.06,"4,298", , , 
2/3/2021 20:49,5.02,"4,307", , , 
2/3/2021 20:54,5.02,"4,079", , , 
2/3/2021 20:59,5.02,"4,577", , , 
2/3/2021 21:04,4.97,"4,375", , , 
2/3/2021 21:09,4.97,"4,109", , , 
2/3/2021 21:14,4.84,"2,705", , , 
2/3/2021 21:19,4.76,"2,043", , , 
2/3/2021 21:24,4.72,"1,276", , , 
2/3/2021 21:29,4.67,903, , , 
2/3/2021 21:34,4.59,852, , , 
2/3/2021 21:39,4.54,704, , , 
2/3/2021 21:44,4.54,613, , , 
2/3/2021 21:49,4.5,449, , , 
2/3/2021 21:54,4.54,293, , , 
2/3/2021 21:59,4.5,192, , , 
2/3/2021 22:04,4.5,113, , , 
2/3/2021 22:09,4.46,62, , , 
2/3/2021 22:14,4.59,23, , , 
2/3/2021 22:19,4.63,9, , , 
2/3/2021 22:24,4.63,3, , , 
2/3/2021 22:29,4.67,1, , , 
2/3/2021 22:34,4.67,14, , , 
2/3/2021 22:39,4.67,15, , , 
2/3/2021 22:44,4.72,14, , , 
2/3/2021 22:49,4.72,15, , , 
2/3/2021 22:54,4.76,14, , , 
2/3/2021 22:59,4.76,15, , , 
2/3/2021 23:04,4.72,14, , , 
2/3/2021 23:09,4.72,14, , , 
2/3/2021 23:14,4.76,15, , , 
2/3/2021 23:19,4.76,15, , , 
2/3/2021 23:24,4.8,15, , , 
2/3/2021 23:29,4.76,14, , , 
2/3/2021 23:34,4.8,19, , , 
2/3/2021 23:39,4.8,18, , , 
2/3/2021 23:44,4.8,18, , , 
2/3/2021 23:49,4.8,14, , , 
2/3/2021 23:54,4.89,14, , , 
2/3/2021 23:59,4.84,13, , , 
2/4/2021 0:04,4.97,13, , , 
2/4/2021 0:09,4.89,13, , , 
2/4/2021 0:14,4.93,13, , , 
2/4/2021 0:19,4.97,13, , , 
2/4/2021 0:24,5.02,13, , , 
2/4/2021 0:29,5.02,13, , , 
2/4/2021 0:34,5.02,14, , , 
2/4/2021 0:39,5.06,14, , , 
2/4/2021 0:44,5.02,14, , , 
2/4/2021 0:49,5.02,0, , , 
2/4/2021 0:54,4.93,0, , , 
2/4/2021 0:59,4.89,0, , , 
2/4/2021 1:04,4.84,0, , , 
2/4/2021 1:09,4.8,0, , , 
2/4/2021 1:14,4.8,0, , , 
