DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,
7/24/2020 12:44,27.88,"17,987", , , 
7/24/2020 12:49,28.57,"21,473", , , 
7/24/2020 12:54,28.65,"19,538", , , 
7/24/2020 12:59,28.74,"19,994", , , 
7/24/2020 13:04,29.04,"21,770", , , 
7/24/2020 13:09,29.26,"21,402", , , 
7/24/2020 13:14,29.86,"25,272", , , 
7/24/2020 13:19,31.1,"32,584", , , 
7/24/2020 13:24,31.92,"28,662", , , 
7/24/2020 13:29,32.56,"30,843", , , 
7/24/2020 13:34,31.87,"25,068", , , 
7/24/2020 13:39,32.64,"35,553", , , 
7/24/2020 13:44,34.62,"63,037", , , 
7/24/2020 13:49,36.89,"48,497", , , 
7/24/2020 13:54,35.95,"33,167", , , 
7/24/2020 13:59,35.13,"29,962", , , 
7/24/2020 14:04,34.96,"31,037", , , 
7/24/2020 14:09,34.36,"27,730", , , 
7/24/2020 14:14,33.55,"26,767", , , 
7/24/2020 14:19,33.8,"38,932", , , 
7/24/2020 14:24,34.36,"35,441", , , 
7/24/2020 14:29,34.53,"31,898", , , 
7/24/2020 14:34,35.78,"36,895", , , 
7/24/2020 14:39,37.15,"41,984", , , 
7/24/2020 14:44,37.58,"37,274", , , 
7/24/2020 14:49,36.93,"34,273", , , 
7/24/2020 14:54,36.63,"33,833", , , 
7/24/2020 14:59,36.33,"35,011", , , 
7/24/2020 15:04,36.51,"34,488", , , 
7/24/2020 15:09,36.89,"35,635", , , 
7/24/2020 15:14,37.06,"35,932", , , 
7/24/2020 15:19,37.96,"42,086", , , 
7/24/2020 15:24,38.44,"37,642", , , 
7/24/2020 15:29,37.32,"37,775", , , 
7/24/2020 15:34,37.62,"36,516", , , 
7/24/2020 15:39,37.36,"32,594", , , 
7/24/2020 15:44,37.23,"31,549", , , 
7/24/2020 15:49,37.79,"35,052", , , 
7/24/2020 15:54,37.92,"37,786", , , 
7/24/2020 15:59,39.47,"48,517", , , 
7/24/2020 16:04,40.71,"45,445", , , 
7/24/2020 16:09,41.44,"45,363", , , 
7/24/2020 16:14,42.17,"41,492", , , 
7/24/2020 16:19,40.28,"33,024", , , 
7/24/2020 16:24,39.81,"38,154", , , 
7/24/2020 16:29,40.11,"39,700", , , 
7/24/2020 16:34,40.19,"49,172", , , 
7/24/2020 16:39,40.75,"41,032", , , 
7/24/2020 16:44,40.8,"43,971", , , 
7/24/2020 16:49,41.27,"41,554", , , 
7/24/2020 16:54,41.18,"41,789", , , 
7/24/2020 16:59,42.34,"44,278", , , 
7/24/2020 17:04,42.81,"47,841", , , 
7/24/2020 17:09,44.27,"60,580", , , 
7/24/2020 17:14,44.31,"56,893", , , 
7/24/2020 17:19,46.72,"60,703", , , 
7/24/2020 17:24,45.77,"49,439", , , 
7/24/2020 17:29,44.96,"47,145", , , 
7/24/2020 17:34,46.12,"58,266", , , 
7/24/2020 17:39,47.23,"53,084", , , 
7/24/2020 17:44,47.57,"50,115", , , 
7/24/2020 17:49,50.79,"78,766", , , 
7/24/2020 17:54,48.35,"70,144", , , 
7/24/2020 17:59,46.29,"42,066", , , 
7/24/2020 18:04,44.87,"43,540", , , 
7/24/2020 18:09,44.48,"41,789", , , 
7/24/2020 18:14,45.69,"71,496", , , 
7/24/2020 18:19,47.75,"85,361", , , 
7/24/2020 18:24,47.53,"51,487", , , 
7/24/2020 18:29,46.76,"42,496", , , 
7/24/2020 18:34,45.73,"41,533", , , 
7/24/2020 18:39,45,"38,257", , , 
7/24/2020 18:44,44.53,"35,256", , , 
7/24/2020 18:49,43.76,"35,308", , , 
7/24/2020 18:54,43.63,"53,371", , , 
7/24/2020 18:59,43.5,"37,530", , , 
7/24/2020 19:04,43.16,"37,489", , , 
7/24/2020 19:09,42.77,"35,430", , , 
7/24/2020 19:14,41.7,"31,160", , , 
7/24/2020 19:19,41.05,"32,164", , , 
7/24/2020 19:24,41.27,"35,523", , , 
7/24/2020 19:29,41.87,"42,168", , , 
7/24/2020 19:34,41.87,"30,208", , , 
7/24/2020 19:39,41.18,"29,338", , , 
7/24/2020 19:44,38.56,"29,839", , , 
7/24/2020 19:49,37.92,"37,509", , , 
7/24/2020 19:54,37.36,"32,451", , , 
7/24/2020 19:59,37.23,"32,358", , , 
7/24/2020 20:04,36.59,"26,788", , , 
7/24/2020 20:09,36.55,"27,699", , , 
7/24/2020 20:14,36.29,"26,030", , , 
7/24/2020 20:19,36.12,"24,904", , , 
7/24/2020 20:24,35.73,"23,869", , , 
7/24/2020 20:29,35.18,"22,927", , , 
7/24/2020 20:34,34.83,"21,740", , , 
7/24/2020 20:39,34.57,"21,187", , , 
7/24/2020 20:44,34.57,"21,832", , , 
7/24/2020 20:49,34.23,"20,429", , , 
7/24/2020 20:54,34.23,"19,758", , , 
7/24/2020 20:59,34.19,"20,198", , , 
7/24/2020 21:04,33.8,"20,844", , , 
7/24/2020 21:09,33.33,"19,548", , , 
7/24/2020 21:14,33.03,"17,480", , , 
7/24/2020 21:19,32.47,"16,978", , , 
7/24/2020 21:24,32.09,"17,480", , , 
7/24/2020 21:29,32.22,"18,156", , , 
7/24/2020 21:34,32.64,"18,079", , , 
7/24/2020 21:39,33.33,"20,506", , , 
7/24/2020 21:44,33.25,"17,997", , , 
7/24/2020 21:49,32.94,"16,599", , , 
7/24/2020 21:54,32.34,"16,312", , , 
7/24/2020 21:59,32.34,"16,589", , , 
7/24/2020 22:04,32.3,"15,775", , , 
7/24/2020 22:09,32.47,"16,102", , , 
7/24/2020 22:14,31.74,"16,241", , , 
7/24/2020 22:19,30.93,"13,645", , , 
7/24/2020 22:24,30.16,"10,716", , , 
7/24/2020 22:29,29.3,"11,884", , , 
7/24/2020 22:34,28.48,"8,471", , , 
7/24/2020 22:39,27.71,"7,660", , , 
7/24/2020 22:44,27.24,"6,971", , , 
7/24/2020 22:49,27.02,"6,587", , , 
7/24/2020 22:54,26.72,"6,159", , , 
7/24/2020 22:59,26.42,"5,361", , , 
7/24/2020 23:04,26.04,"4,787", , , 
7/24/2020 23:09,25.82,"4,460", , , 
7/24/2020 23:14,25.69,"4,339", , , 
7/24/2020 23:19,25.48,"3,716", , , 
7/24/2020 23:24,25.22,"2,953", , , 
7/24/2020 23:29,25.01,"2,644", , , 
7/24/2020 23:34,24.79,"2,481", , , 
7/24/2020 23:39,24.66,"2,212", , , 
7/24/2020 23:44,24.41,"1,537", , , 
7/24/2020 23:49,24.28,"1,279", , , 
7/24/2020 23:54,24.19,"1,144", , , 
7/24/2020 23:59,24.06,866, , , 
7/25/2020 0:04,23.94,606, , , 
7/25/2020 0:09,23.85,478, , , 
7/25/2020 0:14,23.72,313, , , 
