DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,
7/24/2020 23:43,24.75,"1,425", , , 
7/24/2020 23:48,24.58,"1,127", , , 
7/24/2020 23:53,24.45,"1,066", , , 
7/24/2020 23:58,24.36,807, , , 
7/25/2020 0:03,24.24,567, , , 
7/25/2020 0:08,24.11,455, , , 
7/25/2020 0:13,23.98,305, , , 
7/25/2020 0:18,23.85,173, , , 
7/25/2020 0:23,23.68,84, , , 
7/25/2020 0:28,23.55,39, , , 
7/25/2020 0:33,23.42,24, , , 
7/25/2020 0:38,23.29,19, , , 
7/25/2020 0:43,23.21,17, , , 
7/25/2020 0:48,23.08,16, , , 
7/25/2020 0:53,22.99,15, , , 
7/25/2020 0:58,22.95,15, , , 
7/25/2020 1:03,22.86,15, , , 
7/25/2020 1:08,22.82,15, , , 
7/25/2020 1:13,22.69,15, , , 
7/25/2020 1:18,22.61,14, , , 
7/25/2020 1:23,22.52,14, , , 
7/25/2020 1:28,22.48,14, , , 
7/25/2020 1:33,22.35,14, , , 
7/25/2020 1:38,22.26,14, , , 
7/25/2020 1:43,22.22,14, , , 
7/25/2020 1:48,22.09,14, , , 
7/25/2020 1:53,22.09,15, , , 
7/25/2020 1:58,22.05,14, , , 
7/25/2020 2:03,22.01,14, , , 
7/25/2020 2:08,21.88,14, , , 
7/25/2020 2:13,21.79,14, , , 
7/25/2020 2:18,21.75,14, , , 
7/25/2020 2:23,21.75,14, , , 
7/25/2020 2:28,21.66,14, , , 
7/25/2020 2:33,21.58,14, , , 
7/25/2020 2:38,21.58,14, , , 
7/25/2020 2:43,21.49,14, , , 
7/25/2020 2:48,21.45,14, , , 
7/25/2020 2:53,21.45,14, , , 
7/25/2020 2:58,21.4,14, , , 
7/25/2020 3:03,21.32,14, , , 
7/25/2020 3:08,21.23,14, , , 
7/25/2020 3:13,21.23,14, , , 
7/25/2020 3:18,21.1,14, , , 
7/25/2020 3:23,21.1,14, , , 
7/25/2020 3:28,21.1,14, , , 
7/25/2020 3:33,21.06,14, , , 
7/25/2020 3:38,21.02,14, , , 
7/25/2020 3:43,20.98,14, , , 
7/25/2020 3:48,20.89,14, , , 
7/25/2020 3:53,20.85,14, , , 
7/25/2020 3:58,20.85,14, , , 
7/25/2020 4:03,20.85,14, , , 
7/25/2020 4:08,20.8,14, , , 
7/25/2020 4:13,20.8,15, , , 
7/25/2020 4:18,20.76,15, , , 
7/25/2020 4:23,20.68,15, , , 
7/25/2020 4:28,20.55,14, , , 
7/25/2020 4:33,20.42,15, , , 
7/25/2020 4:38,20.33,15, , , 
7/25/2020 4:43,20.29,15, , , 
7/25/2020 4:48,20.25,15, , , 
7/25/2020 4:53,20.25,15, , , 
7/25/2020 4:58,20.2,14, , , 
7/25/2020 5:03,20.25,14, , , 
7/25/2020 5:08,20.16,14, , , 
7/25/2020 5:13,20.07,15, , , 
7/25/2020 5:18,19.95,14, , , 
7/25/2020 5:23,19.99,14, , , 
7/25/2020 5:28,19.82,13, , , 
7/25/2020 5:33,19.73,14, , , 
7/25/2020 5:38,19.69,14, , , 
7/25/2020 5:43,19.73,13, , , 
7/25/2020 5:48,19.73,14, , , 
7/25/2020 5:53,19.77,14, , , 
7/25/2020 5:58,19.82,13, , , 
7/25/2020 6:03,19.86,13, , , 
7/25/2020 6:08,19.86,14, , , 
7/25/2020 6:13,19.9,14, , , 
7/25/2020 6:18,19.99,15, , , 
7/25/2020 6:23,19.95,15, , , 
7/25/2020 6:28,20.03,15, , , 
7/25/2020 6:33,20.12,16, , , 
7/25/2020 6:38,20.16,16, , , 
7/25/2020 6:43,20.25,17, , , 
7/25/2020 6:48,20.25,17, , , 
7/25/2020 6:53,20.25,17, , , 
7/25/2020 6:58,20.2,17, , , 
7/25/2020 7:03,20.2,17, , , 
7/25/2020 7:08,20.2,17, , , 
7/25/2020 7:13,20.16,17, , , 
7/25/2020 7:18,20.12,17, , , 
7/25/2020 7:23,20.16,17, , , 
7/25/2020 7:28,20.12,16, , , 
7/25/2020 7:33,19.99,17, , , 
7/25/2020 7:38,19.99,16, , , 
7/25/2020 7:43,19.99,17, , , 
7/25/2020 7:48,20.03,16, , , 
7/25/2020 7:53,19.95,16, , , 
7/25/2020 7:58,19.82,16, , , 
7/25/2020 8:03,19.82,15, , , 
7/25/2020 8:08,19.77,15, , , 
7/25/2020 8:13,19.69,14, , , 
7/25/2020 8:18,19.65,14, , , 
7/25/2020 8:23,19.69,14, , , 
7/25/2020 8:28,19.69,14, , , 
7/25/2020 8:33,19.73,14, , , 
7/25/2020 8:38,19.82,13, , , 
7/25/2020 8:43,19.77,13, , , 
7/25/2020 8:48,19.65,13, , , 
7/25/2020 8:53,19.69,13, , , 
7/25/2020 8:58,19.69,14, , , 
7/25/2020 9:03,19.69,15, , , 
7/25/2020 9:08,19.6,19, , , 
7/25/2020 9:13,19.56,30, , , 
7/25/2020 9:18,19.47,55, , , 
7/25/2020 9:23,19.47,105, , , 
7/25/2020 9:28,19.56,195, , , 
7/25/2020 9:33,19.6,331, , , 
7/25/2020 9:38,19.73,526, , , 
7/25/2020 9:43,19.73,769, , , 
7/25/2020 9:48,19.86,"1,070", , , 
7/25/2020 9:53,20.07,"1,434", , , 
7/25/2020 9:58,20.2,"1,817", , , 
7/25/2020 10:03,20.37,"2,243", , , 
7/25/2020 10:08,20.55,"2,711", , , 
7/25/2020 10:13,20.63,"3,164", , , 
7/25/2020 10:18,20.8,"3,648", , , 
7/25/2020 10:23,20.89,"3,964", , , 
7/25/2020 10:28,21.15,"4,607", , , 
7/25/2020 10:33,21.45,"5,069", , , 
7/25/2020 10:38,21.83,"5,473", , , 
7/25/2020 10:43,22.13,"5,996", , , 
7/25/2020 10:48,22.48,"6,751", , , 
7/25/2020 10:53,22.86,"7,206", , , 
7/25/2020 10:58,23.25,"7,667", , , 
7/25/2020 11:03,23.59,"8,916", , , 
7/25/2020 11:08,23.89,"8,412", , , 
7/25/2020 11:13,24.11,"8,771", , , 
7/25/2020 11:18,24.41,"9,027", , , 
7/25/2020 11:23,24.62,"9,226", , , 
7/25/2020 11:28,24.92,"9,495", , , 
7/25/2020 11:33,25.27,"10,501", , , 
7/25/2020 11:38,27.28,"22,385", , , 
7/25/2020 11:43,29.68,"22,548", , , 
7/25/2020 11:48,31.92,"23,777", , , 
7/25/2020 11:53,33.59,"26,501", , , 
7/25/2020 11:58,32.13,"12,047", , , 
7/25/2020 12:03,33.37,"36,106", , , 
7/25/2020 12:08,36.38,"42,660", , , 
7/25/2020 12:13,37.02,"22,743", , , 
7/25/2020 12:18,35.3,"44,093", , , 
7/25/2020 12:23,31.4,"11,597", , , 
7/25/2020 12:28,29.64,"13,071", , , 
7/25/2020 12:33,32.04,"49,746", , , 
7/25/2020 12:38,32.69,"50,381", , , 
7/25/2020 12:43,31.01,"18,458", , , 
7/25/2020 12:48,30.16,"18,796", , , 
7/25/2020 12:53,29.9,"18,688", , , 
7/25/2020 12:58,29.98,"15,590", , , 
7/25/2020 13:03,29.98,"15,549", , , 
7/25/2020 13:08,29.9,"15,227", , , 
