DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,
7/24/2020 12:48,29.86,"20,101", , , 
7/24/2020 12:53,30.8,"19,436", , , 
7/24/2020 12:58,31.1,"18,104", , , 
7/24/2020 13:03,31.36,"19,287", , , 
7/24/2020 13:08,31.79,"20,045", , , 
7/24/2020 13:13,32.6,"29,245", , , 
7/24/2020 13:18,33.85,"36,536", , , 
7/24/2020 13:23,35.69,"37,130", , , 
7/24/2020 13:28,36.25,"36,772", , , 
7/24/2020 13:33,36.08,"24,044", , , 
7/24/2020 13:38,36.03,"31,058", , , 
7/24/2020 13:43,37.06,"29,686", , , 
7/24/2020 13:48,40.41,"55,767", , , 
7/24/2020 13:53,40.5,"36,188", , , 
7/24/2020 13:58,40.24,"31,293", , , 
7/24/2020 14:03,39.98,"32,840", , , 
7/24/2020 14:08,39.42,"26,440", , , 
7/24/2020 14:13,38.78,"24,965", , , 
7/24/2020 14:18,38.44,"27,781", , , 
7/24/2020 14:23,38.82,"32,113", , , 
7/24/2020 14:28,39.21,"32,625", , , 
7/24/2020 14:33,40.84,"41,042", , , 
7/24/2020 14:38,42.47,"57,754", , , 
7/24/2020 14:43,43.71,"42,332", , , 
7/24/2020 14:48,43.2,"34,601", , , 
7/24/2020 14:53,42.43,"32,143", , , 
7/24/2020 14:58,42,"33,413", , , 
7/24/2020 15:03,41.83,"33,618", , , 
7/24/2020 15:08,42.3,"34,447", , , 
7/24/2020 15:13,42.43,"33,618", , , 
7/24/2020 15:18,44.18,"77,169", , , 
7/24/2020 15:23,45,"37,263", , , 
7/24/2020 15:28,44.44,"38,738", , , 
7/24/2020 15:33,43.88,"36,260", , , 
7/24/2020 15:38,43.76,"33,976", , , 
7/24/2020 15:43,43.41,"29,563", , , 
7/24/2020 15:48,43.41,"36,977", , , 
7/24/2020 15:53,43.76,"37,755", , , 
7/24/2020 15:58,44.79,"43,827", , , 
7/24/2020 16:03,47.14,"53,760", , , 
7/24/2020 16:08,48.69,"51,016", , , 
7/24/2020 16:13,49.46,"53,453", , , 
7/24/2020 16:18,47.45,"30,464", , , 
7/24/2020 16:23,46.37,"34,580", , , 
7/24/2020 16:28,45.77,"37,222", , , 
7/24/2020 16:33,45.73,"41,544", , , 
7/24/2020 16:38,46.54,"58,409", , , 
7/24/2020 16:43,46.5,"46,961", , , 
7/24/2020 16:48,46.37,"40,008", , , 
7/24/2020 16:53,46.5,"42,783", , , 
7/24/2020 16:58,47.57,"48,558", , , 
7/24/2020 17:03,48.95,"46,531", , , 
7/24/2020 17:08,49.98,"55,624", , , 
7/24/2020 17:13,51.74,"59,392", , , 
7/24/2020 17:18,53.75,"103,752", , , 
7/24/2020 17:23,54.35,"52,634", , , 
7/24/2020 17:28,53.45,"58,573", , , 
7/24/2020 17:33,52.85,"48,230", , , 
7/24/2020 17:38,53.41,"51,159", , , 
7/24/2020 17:43,53.28,"48,538", , , 
7/24/2020 17:48,53.49,"52,941", , , 
7/24/2020 17:53,52.98,"48,579", , , 
7/24/2020 17:58,53.88,"46,285", , , 
7/24/2020 18:03,54.09,"56,668", , , 
7/24/2020 18:08,55.04,"58,634", , , 
7/24/2020 18:13,55.3,"72,438", , , 
7/24/2020 18:18,58.6,"78,991", , , 
7/24/2020 18:23,56.97,"42,865", , , 
7/24/2020 18:28,55.94,"50,094", , , 
7/24/2020 18:33,53.79,"42,045", , , 
7/24/2020 18:38,52.38,"34,611", , , 
7/24/2020 18:43,50.75,"32,123", , , 
7/24/2020 18:48,49.55,"31,130", , , 
7/24/2020 18:53,49.33,"45,507", , , 
7/24/2020 18:58,49.38,"33,331", , , 
7/24/2020 19:03,48.26,"30,525", , , 
7/24/2020 19:08,47.75,"29,757", , , 
7/24/2020 19:13,46.89,"28,774", , , 
7/24/2020 19:18,45.86,"28,498", , , 
7/24/2020 19:23,45.81,"31,672", , , 
7/24/2020 19:28,45.39,"35,277", , , 
7/24/2020 19:33,45.56,"26,563", , , 
7/24/2020 19:38,45,"25,979", , , 
7/24/2020 19:43,43.2,"23,880", , , 
7/24/2020 19:48,42.04,"27,464", , , 
7/24/2020 19:53,42,"26,440", , , 
7/24/2020 19:58,41.48,"26,122", , , 
7/24/2020 20:03,40.75,"22,825", , , 
7/24/2020 20:08,40.07,"22,610", , , 
7/24/2020 20:13,39.51,"21,535", , , 
7/24/2020 20:18,39.17,"21,443", , , 
7/24/2020 20:23,38.69,"20,567", , , 
7/24/2020 20:28,37.62,"19,922", , , 
7/24/2020 20:33,37.45,"19,123", , , 
7/24/2020 20:38,37.23,"18,540", , , 
7/24/2020 20:43,36.85,"18,227", , , 
7/24/2020 20:48,37.06,"18,232", , , 
7/24/2020 20:53,36.85,"18,227", , , 
7/24/2020 20:58,36.76,"17,797", , , 
7/24/2020 21:03,36.59,"16,824", , , 
7/24/2020 21:08,36.16,"16,532", , , 
7/24/2020 21:13,35.86,"15,109", , , 
7/24/2020 21:18,35.39,"14,218", , , 
7/24/2020 21:23,34.83,"14,387", , , 
7/24/2020 21:28,34.7,"14,848", , , 
7/24/2020 21:33,34.66,"15,135", , , 
7/24/2020 21:38,34.66,"15,099", , , 
7/24/2020 21:43,34.36,"14,208", , , 
7/24/2020 21:48,33.76,"13,629", , , 
7/24/2020 21:53,33.16,"13,240", , , 
7/24/2020 21:58,32.94,"12,918", , , 
7/24/2020 22:03,32.77,"12,590", , , 
7/24/2020 22:08,33.03,"12,590", , , 
7/24/2020 22:13,32.99,"12,186", , , 
7/24/2020 22:18,32.43,"11,331", , , 
7/24/2020 22:23,31.87,"9,311", , , 
7/24/2020 22:28,31.01,"8,453", , , 
