cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.79591678,2.182214006,8.22,5.11,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.79591678,2.182214006,6.7,4.27,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.79591678,2.182214006,6.66,4.16,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.79591678,2.182214006,2.53,1.69,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.79591678,2.182214006,2.56,1.68,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.79591678,2.182214006,2.58,1.72,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.79591678,2.182214006,25.4,15.2,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.79591678,2.182214006,24.7,14.6,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.79591678,2.182214006,25.8,15.7,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.79591678,2.182214006,7.98,4.41,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.79591678,2.182214006,7.54,4.82,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.79591678,2.182214006,8.4,4.75,0.806,0.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,TF,dil,N,15%,a,a,>0&<200,152,6,0.79591678,2.182214006,41.2,23.3,0.882,0.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,TF,dil,N,15%,a,b,>0&<200,152,6,0.79591678,2.182214006,41.5,22.4,0.882,0.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,TF,dil,N,15%,a,c,>0&<200,152,6,0.79591678,2.182214006,41.1,23.2,0.882,0.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,TF,dil,N,15%,b,a,>0&<200,152,6,0.79591678,2.182214006,42.2,23.1,0.882,0.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,TF,dil,N,15%,b,b,>0&<200,152,6,0.79591678,2.182214006,38.1,22.2,0.882,0.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,TF,dil,N,15%,b,c,>0&<200,152,6,0.79591678,2.182214006,38.6,19,0.882,0.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en644,1',20-21-22',NA',2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,NaN,NaN,NaN,TF,wsw,NoN,15%,a,a,>0&<200,152,6,0.79591678,2.182214006,214,121,0.882,0.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
