cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,15%,b,b,>0&<200,152,6,0.33182747,2.18953457,70.1,40.2,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,15%,b,c,>0&<200,152,6,0.33182747,2.18953457,76.9,28.8,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,a,a,>0&<200,152,6,0.33182747,2.18953457,405,225,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,a,b,>0&<200,152,6,0.33182747,2.18953457,371,215,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,a,c,>0&<200,152,6,0.33182747,2.18953457,338,205,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,b,a,>0&<200,152,6,0.33182747,2.18953457,337,190,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,b,b,>0&<200,152,6,0.33182747,2.18953457,339,216,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,b,c,>0&<200,152,6,0.33182747,2.18953457,310,191,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,15%,a,a,>0&<200,152,6,0.33182747,2.18953457,344,209,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,15%,a,b,>0&<200,152,6,0.33182747,2.18953457,371,200,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,15%,a,c,>0&<200,152,6,0.33182747,2.18953457,360,193,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,15%,b,a,>0&<200,152,6,0.33182747,2.18953457,284,223,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,15%,b,b,>0&<200,152,6,0.33182747,2.18953457,318,192,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,NoN,15%,b,c,>0&<200,152,6,0.33182747,2.18953457,308,200,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,15%,a,a,>10&<200,152,6,0.33182747,2.18953457,56.5,29.1,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,15%,a,b,>10&<200,152,6,0.33182747,2.18953457,55.3,28.5,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,15%,a,c,>10&<200,152,6,0.33182747,2.18953457,58.2,28.8,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,15%,b,a,>10&<200,152,6,0.33182747,2.18953457,64.4,22.2,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,15%,b,b,>10&<200,152,6,0.33182747,2.18953457,66.5,33.2,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,dil,N,15%,b,c,>10&<200,152,6,0.33182747,2.18953457,57.9,28.8,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,a,a,>10&<200,152,6,0.33182747,2.18953457,227,111,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,a,b,>10&<200,152,6,0.33182747,2.18953457,251,122,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,a,c,>10&<200,152,6,0.33182747,2.18953457,265,129,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,NaN,NaN,NaN,TF,wsw,N,15%,b,a,>10&<200,152,6,0.33182747,2.18953457,267,138,2.53,2.445,NaN,NaN,NaN,NaN,NaN,NaN
