cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.837516556,2.152385698,33.4,19.5,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.837516556,2.152385698,35.4,20.2,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.837516556,2.152385698,30.4,19.7,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.837516556,2.152385698,8.07,4.36,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.837516556,2.152385698,13.7,7.04,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.837516556,2.152385698,13.3,6.87,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.837516556,2.152385698,148,78.4,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.837516556,2.152385698,137,81.5,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.837516556,2.152385698,151,78.5,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,1',17-18-19-20',NA',2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.837516556,2.152385698,48.9,24.1,0.7575,0.7825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
