DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,
10/13/2020 13:44,17.46,"3,086", , , 
10/13/2020 13:49,16.39,"5,147", , , 
10/13/2020 13:54,16.34,"6,139", , , 
10/13/2020 13:59,16.51,"5,386", , , 
10/13/2020 14:04,16.73,"3,732", , , 
10/13/2020 14:09,16.86,"3,633", , , 
10/13/2020 14:14,17.11,"5,916", , , 
10/13/2020 14:19,17.24,"6,490", , , 
10/13/2020 14:24,17.37,"6,564", , , 
10/13/2020 14:29,17.33,"6,482", , , 
10/13/2020 14:34,17.46,"6,515", , , 
10/13/2020 14:39,17.41,"4,141", , , 
10/13/2020 14:44,17.41,"3,779", , , 
10/13/2020 14:49,17.5,"3,444", , , 
10/13/2020 14:54,17.5,"3,400", , , 
10/13/2020 14:59,17.46,"3,372", , , 
10/13/2020 15:04,17.54,"3,817", , , 
10/13/2020 15:09,17.54,"4,221", , , 
10/13/2020 15:14,17.63,"4,791", , , 
10/13/2020 15:19,17.76,"6,036", , , 
10/13/2020 15:24,17.76,"5,901", , , 
10/13/2020 15:29,17.84,"6,615", , , 
10/13/2020 15:34,17.93,"6,323", , , 
10/13/2020 15:39,17.84,"6,495", , , 
10/13/2020 15:44,17.97,"7,795", , , 
10/13/2020 15:49,18.02,"10,040", , , 
10/13/2020 15:54,18.14,"11,172", , , 
10/13/2020 15:59,18.19,"9,290", , , 
10/13/2020 16:04,18.06,"6,838", , , 
10/13/2020 16:09,18.1,"7,693", , , 
10/13/2020 16:14,18.4,"16,896", , , 
10/13/2020 16:19,18.74,"27,453", , , 
10/13/2020 16:24,18.44,"10,803", , , 
10/13/2020 16:29,18.36,"11,689", , , 
10/13/2020 16:34,18.14,"7,270", , , 
10/13/2020 16:39,18.1,"6,838", , , 
10/13/2020 16:44,18.1,"8,023", , , 
10/13/2020 16:49,18.19,"10,383", , , 
10/13/2020 16:54,18.44,"14,060", , , 
10/13/2020 16:59,18.49,"16,077", , , 
10/13/2020 17:04,18.44,"13,583", , , 
10/13/2020 17:09,18.53,"17,285", , , 
10/13/2020 17:14,18.57,"17,664", , , 
10/13/2020 17:19,18.44,"15,447", , , 
10/13/2020 17:24,18.32,"11,827", , , 
10/13/2020 17:29,18.27,"11,459", , , 
10/13/2020 17:34,18.23,"9,574", , , 
10/13/2020 17:39,18.14,"9,142", , , 
10/13/2020 17:44,18.14,"10,286", , , 
10/13/2020 17:49,18.23,"12,175", , , 
10/13/2020 17:54,18.27,"11,740", , , 
10/13/2020 17:59,18.14,"8,993", , , 
10/13/2020 18:04,18.19,"10,752", , , 
10/13/2020 18:09,18.49,"19,676", , , 
10/13/2020 18:14,18.53,"16,276", , , 
10/13/2020 18:19,18.23,"10,391", , , 
10/13/2020 18:24,18.19,"12,247", , , 
10/13/2020 18:29,18.1,"6,994", , , 
10/13/2020 18:34,18.19,"11,535", , , 
10/13/2020 18:39,18.02,"7,025", , , 
10/13/2020 18:44,18.02,"6,728", , , 
10/13/2020 18:49,18.02,"5,896", , , 
10/13/2020 18:54,17.97,"6,515", , , 
10/13/2020 18:59,18.02,"8,159", , , 
10/13/2020 19:04,18.02,"9,239", , , 
10/13/2020 19:09,18.23,"12,001", , , 
10/13/2020 19:14,18.02,"6,344", , , 
10/13/2020 19:19,18.14,"11,546", , , 
10/13/2020 19:24,18.1,"9,091", , , 
10/13/2020 19:29,17.89,"4,736", , , 
10/13/2020 19:34,18.02,"7,834", , , 
10/13/2020 19:39,17.89,"5,299", , , 
10/13/2020 19:44,17.89,"5,137", , , 
10/13/2020 19:49,17.89,"4,829", , , 
10/13/2020 19:54,17.84,"4,590", , , 
10/13/2020 19:59,17.93,"5,156", , , 
10/13/2020 20:04,18.14,"11,807", , , 
10/13/2020 20:09,17.97,"4,244", , , 
10/13/2020 20:14,17.93,"5,624", , , 
10/13/2020 20:19,18.06,"7,846", , , 
10/13/2020 20:24,17.97,"4,882", , , 
10/13/2020 20:29,17.84,"2,403", , , 
10/13/2020 20:34,17.84,"2,929", , , 
10/13/2020 20:39,17.89,"2,995", , , 
10/13/2020 20:44,17.89,"2,458", , , 
10/13/2020 20:49,18.1,"5,816", , , 
10/13/2020 20:54,18.02,"2,872", , , 
10/13/2020 20:59,17.97,"2,902", , , 
10/13/2020 21:04,18.14,"4,655", , , 
10/13/2020 21:09,18.1,"3,965", , , 
10/13/2020 21:14,18.27,"6,748", , , 
10/13/2020 21:19,18.27,"4,991", , , 
10/13/2020 21:24,18.23,"3,333", , , 
10/13/2020 21:29,18.1,"1,688", , , 
10/13/2020 21:34,18.1,"1,363", , , 
10/13/2020 21:39,18.1,919, , , 
10/13/2020 21:44,18.1,579, , , 
10/13/2020 21:49,18.1,577, , , 
10/13/2020 21:54,18.06,340, , , 
10/13/2020 21:59,18.14,159, , , 
10/13/2020 22:04,18.06,104, , , 
10/13/2020 22:09,18.14,78, , , 
10/13/2020 22:14,18.14,42, , , 
10/13/2020 22:19,18.14,16, , , 
10/13/2020 22:24,18.14,58, , , 
10/13/2020 22:29,18.14,66, , , 
10/13/2020 22:34,18.14,57, , , 
10/13/2020 22:39,18.19,6, , , 
10/13/2020 22:44,18.19,59, , , 
10/13/2020 22:49,18.14,54, , , 
10/13/2020 22:54,18.19,58, , , 
10/13/2020 22:59,18.19,54, , , 
10/13/2020 23:04,18.19,0, , , 
10/13/2020 23:09,18.19,0, , , 
10/13/2020 23:14,18.19,0, , , 
10/13/2020 23:19,18.23,0, , , 
10/13/2020 23:24,18.19,0, , , 
10/13/2020 23:29,18.19,0, , , 
10/13/2020 23:34,18.19,0, , , 
10/13/2020 23:39,18.19,0, , , 
10/13/2020 23:44,18.14,0, , , 
10/13/2020 23:49,18.14,0, , , 
10/13/2020 23:54,18.1,0, , , 
10/13/2020 23:59,18.14,0, , , 
10/14/2020 0:04,18.1,0, , , 
10/14/2020 0:09,18.1,0, , , 
10/14/2020 0:14,18.1,0, , , 
10/14/2020 0:19,18.14,0, , , 
10/14/2020 0:24,18.1,0, , , 
10/14/2020 0:29,18.1,0, , , 
10/14/2020 0:34,18.06,0, , , 
10/14/2020 0:39,18.06,0, , , 
10/14/2020 0:44,18.06,0, , , 
10/14/2020 0:49,18.02,0, , , 
10/14/2020 0:54,18.02,0, , , 
10/14/2020 0:59,18.02,0, , , 
10/14/2020 1:04,18.06,0, , , 
10/14/2020 1:09,18.02,0, , , 
10/14/2020 1:14,18.02,0, , , 
10/14/2020 1:19,17.97,0, , , 
10/14/2020 1:24,17.97,0, , , 
