cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,c,a,>0&<200,152,6,0.776503022,2.22867365,21,11.9,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,c,b,>0&<200,152,6,0.776503022,2.22867365,21.9,12.1,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,c,c,>0&<200,152,6,0.776503022,2.22867365,13.2,12.3,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,a,a,>0&<200,72,6,0.776503022,2.22867365,33.1,25,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,a,b,>0&<200,152,6,0.776503022,2.22867365,51.5,30.6,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,a,c,>0&<200,152,6,0.776503022,2.22867365,55,30.1,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,b,a,>0&<200,152,6,0.776503022,2.22867365,54.5,28.7,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,b,b,>0&<200,152,6,0.776503022,2.22867365,60.3,31.4,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,b,c,>0&<200,152,6,0.776503022,2.22867365,63.4,31.3,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,a,a,>0&<200,152,6,0.776503022,2.22867365,103,53.2,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
