cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,15%,b,c,>0&<200,152,6,0.813376915,2.21629417,208,131,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,a,a,>10&<200,152,6,0.813376915,2.21629417,40,18.5,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,a,b,>10&<200,152,6,0.813376915,2.21629417,46,22.4,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,a,c,>10&<200,152,6,0.813376915,2.21629417,40.4,19.6,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,b,a,>10&<200,152,6,0.813376915,2.21629417,41.5,20.5,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,b,b,>10&<200,152,6,0.813376915,2.21629417,35.4,18.3,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,15%,b,c,>10&<200,152,6,0.813376915,2.21629417,41.6,21,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,a,a,>10&<200,152,6,0.813376915,2.21629417,176,86.2,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,a,b,>10&<200,152,6,0.813376915,2.21629417,159,84.5,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,a,c,>10&<200,152,6,0.813376915,2.21629417,172,83.5,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,b,a,>10&<200,152,6,0.813376915,2.21629417,167,79.9,0.9165,0.899,,,,,,,,
