DateTimeHOBO_UTC,Temp_Inc,Light_Inc,
7/29/2022 17:11,31.96,17433.6,
7/29/2022 17:16,32.77,35665.92,
7/29/2022 17:21,34.27,50585.6,
7/29/2022 17:26,33.55,40468.48,
7/29/2022 17:31,32.73,38266.88,
7/29/2022 17:36,32.52,42926.08,
7/29/2022 17:41,32.34,37652.48,
7/29/2022 17:46,31.87,31354.88,
7/29/2022 17:51,31.92,41297.92,
7/29/2022 17:56,31.87,27453.44,
7/29/2022 18:01,31.96,27289.6,
7/29/2022 18:06,32.04,36700.16,
7/29/2022 18:11,31.96,17157.12,
7/29/2022 18:16,31.79,24217.6,
7/29/2022 18:21,31.7,25354.24,
7/29/2022 18:26,28.48,27863.04,
7/29/2022 18:31,26.25,18283.52,
7/29/2022 18:36,25.27,19025.92,
7/29/2022 18:41,25.05,23951.36,
7/29/2022 18:46,24.79,21288.96,
7/29/2022 18:51,24.92,24166.4,
7/29/2022 18:56,24.84,23582.72,
7/29/2022 19:01,24.71,19251.2,
7/29/2022 19:06,24.75,24842.24,
7/29/2022 19:11,24.88,30760.96,
7/29/2022 19:16,25.14,40529.92,
7/29/2022 19:21,25.09,33116.16,
7/29/2022 19:26,25.22,41820.16,
7/29/2022 19:31,25.09,30177.28,
7/29/2022 19:36,24.84,26736.64,
7/29/2022 19:41,24.66,21329.92,
7/29/2022 19:46,24.49,18375.68,
7/29/2022 19:51,24.41,17346.56,
7/29/2022 19:56,24.45,20725.76,
7/29/2022 20:01,24.45,19584,
7/29/2022 20:06,24.49,19548.16,
7/29/2022 20:11,24.41,18949.12,
7/29/2022 20:16,24.36,17418.24,
7/29/2022 20:21,24.28,15472.64,
7/29/2022 20:26,24.19,14617.6,
7/29/2022 20:31,24.11,15114.24,
7/29/2022 20:36,24.06,13501.44,
7/29/2022 20:41,23.98,11622.4,
7/29/2022 20:46,23.94,11704.32,
7/29/2022 20:51,23.98,13972.48,
7/29/2022 20:56,23.94,12375.04,
7/29/2022 21:01,23.94,14868.48,
7/29/2022 21:06,23.94,14760.96,
7/29/2022 21:11,23.89,13649.92,
7/29/2022 21:16,23.85,14996.48,
7/29/2022 21:21,23.89,15482.88,
7/29/2022 21:26,23.94,15247.36,
7/29/2022 21:31,24.66,45445.12,
7/29/2022 21:36,24.28,31918.08,
7/29/2022 21:41,23.85,12175.36,
7/29/2022 21:46,23.68,14182.4,
7/29/2022 21:51,23.55,10562.56,
7/29/2022 21:56,23.34,8345.6,
7/29/2022 22:01,23.25,6901.76,
7/29/2022 22:06,23.21,5672.96,
7/29/2022 22:11,23.16,6077.44,
7/29/2022 22:16,23.34,9666.56,
7/29/2022 22:21,23.38,9520.64,
7/29/2022 22:26,23.38,8755.2,
7/29/2022 22:31,23.38,9751.04,
7/29/2022 22:36,23.34,8332.8,
7/29/2022 22:41,23.16,6225.92,
7/29/2022 22:46,23.16,5381.12,
7/29/2022 22:51,23.08,5632,
7/29/2022 22:56,23.08,4650.24,
7/29/2022 23:01,22.95,3695.36,
7/29/2022 23:06,22.91,3191.04,
7/29/2022 23:11,22.86,2562.56,
7/29/2022 23:16,22.82,1966.08,
7/29/2022 23:21,22.82,1727.36,
7/29/2022 23:26,22.86,1841.28,
7/29/2022 23:31,22.91,1903.36,
7/29/2022 23:36,22.95,1618.56,
7/29/2022 23:41,22.99,1276.48,
7/29/2022 23:46,23.03,959.04,
7/29/2022 23:51,23.08,683.52,
7/29/2022 23:56,23.08,376.48,
7/30/2022 0:01,23.08,216.88,
7/30/2022 0:06,23.12,141.12,
7/30/2022 0:11,23.12,75.08,
7/30/2022 0:16,23.16,32.22,
7/30/2022 0:21,23.12,17.29,
7/30/2022 0:26,23.16,11.22,
7/30/2022 0:31,23.12,8.42,
7/30/2022 0:36,23.16,7.61,
7/30/2022 0:41,23.16,7.21,
7/30/2022 0:46,23.12,7.21,
7/30/2022 0:51,23.12,7.21,
7/30/2022 0:56,23.12,7.21,
7/30/2022 1:01,23.08,7.01,
7/30/2022 1:06,23.12,7.21,
7/30/2022 1:11,23.08,7.01,
7/30/2022 1:16,23.12,7.01,
7/30/2022 1:21,23.12,7.01,
7/30/2022 1:26,23.16,7.21,
7/30/2022 1:31,23.21,7.21,
7/30/2022 1:36,23.25,7.41,
7/30/2022 1:41,23.21,7.01,
7/30/2022 1:46,23.25,7.21,
7/30/2022 1:51,23.16,7.21,
7/30/2022 1:56,23.16,6.41,
7/30/2022 2:01,23.16,0,
7/30/2022 2:06,23.21,0,
7/30/2022 2:11,23.21,0,
7/30/2022 2:16,23.21,0,
7/30/2022 2:21,23.21,0,
7/30/2022 2:26,23.12,0.2,
7/30/2022 2:31,22.99,0,
7/30/2022 2:36,22.99,0,
7/30/2022 2:41,22.86,0,
7/30/2022 2:46,22.82,0,
7/30/2022 2:51,22.82,0,
7/30/2022 2:56,22.52,0,
7/30/2022 3:01,22.73,0,
7/30/2022 3:06,22.65,0,
7/30/2022 3:11,22.52,0,
7/30/2022 3:16,22.52,0,
7/30/2022 3:21,22.56,0,
7/30/2022 3:26,22.48,0,
7/30/2022 3:31,22.52,0,
7/30/2022 3:36,22.43,0,
7/30/2022 3:41,22.52,0,
7/30/2022 3:46,22.52,0.6,
7/30/2022 3:51,22.52,0.6,
